id,text,label
96,"FREE BTC (SIGNAL)
TRADING SIGNALS! 🚨
https://t.co/cnDmIkbhff

🔥 95% Accuracy Rate  
📈 3–6 Profitable Signals Every Day  

#BTCUSD 
#Crypto
#Bitcoin
#BTC💯
#parfect #Eth #Gold #Xauusedz",
97,"🚨 HISTORIC MOMENT — Bitcoin is about to hit 20 MILLION coins mined!

📊 Current count: 19,996,979 BTC
Only ~3,000 left until the milestone
⏳ Estimated arrival: ~7 days

#Bitcoin #BTC  #Crypto #Web3 #Blockchain #HODL https://t.co/tjKbxOmyAt",
98,It's a very good idea to be all bulled up on Bitcoin right here. https://t.co/qJCwYG4k4x,
99,"The flame is lit. 🔥
​Bitcoin just served up that flash sale we were waiting for. If you aren't grabbing the dip, you aren't paying attention. The heat is rising—don't get left in the cold. ⚡️₿
​#Bitcoin #BTC #Crypto #BuyTheDip #Ky https://t.co/t2SPtlwycI",
100,"1 BTC = $66,114.42
1 ETH = $1,915.24
1 BNB = $597.91
1 SOL = $82.05
1 LINK = $8.55
 INVEST NOW!!
$BTC $ETH $BNB $SOL $LINK #Bitcoin #Crypto #Bull #HODL",
101,"Check out this article, it explains it simply:  $BTC news on @EdgenTech https://t.co/h6JYlPiGnG",
102,"$AKE | Up!

#xrp #btc #fil #icp #iran #NFE
#TSLA #EOSE  #IREN #NBIS #RKLB #LMND #SOFI #AMZN #TEM #Gold #silver #UnitedStates 

Click on the link to join  our free  signals group 👇🏿👇🏿. 

https://t.co/gAF0gZ0v50 https://t.co/j7UHmkFtNG",
103,"🚨 FREE GOLD (XAUUSD) TRADING SIGNALS! 🚨
https://t.co/2NxJ4IA2XI

🔥 95% Accuracy Rate  
📈 3–6 Profitable Signals Every Day  

#XAUUSD 
#Crypto
#Bitcoin
#Greece 
#gsazq
#hbagre",
104,"Bitcoin hovers near $67,000 after failing to reclaim $70k, as XRP and Solana slide and market risk sentiment remains cautious amid macro headwinds.

https://t.co/HIA2HRgG30",
105,"✅Entry 0.002015- 0.001977

(LONG COSUSDT 5-20x🆘)

🏹 Target 1 $0.002040
🏹Target 2. $0.002055
🏹Target 3  $0.002075
🏹Target 4  $0.002095
🏹Target 5  $0.002115
🏹Target 6  $0.002130

🚫Stop loss -0.001919

 #BBB26 #WWW             #BTC
TG. ⬇️
https://t.co/d2leBeVnJS https://t.co/T2Imk0tSTh",
106,"📊Forex gold free (signals)
TRADING SIGNALS!

👉Join my channel🤝
💸Telegram https://t.co/3Zthpxg6Ke

#gold #xauusd #btc

$XAUAUD $XAUUSD $GBPUSD $EURUSD $AUDUSD $GBPJPY $AUDUSD $USDCAD $POUND $EURO $USD $DARHAM $COIN $BTCUSD $NASDAQ $USOIL $KUWAIT $DOLLER $RUPPES $INR $MATE https://t.co/5EVwQxOqiD",
107,"🔴 84.0 sold @ $70,477 ($5.9M)
 $BTC #Bitcoin #Alert",
108,"JUST IN: $820,000,000,000 wiped out from the US stock market today.

$120,000,000,000 wiped out from the crypto market cap.

$BTC $ETH $XRP #Crypto #money #englot #UnitedArabEmirates $MOCA $BNB $BTC $ETH $AGRO $PEPE $SOL $XRP

Join my private Group Below
👇🏽https://t.co/jsBWfPtpAo https://t.co/uH8PLsV1Rg",
109,JUST IN: JAN3 CEO Samson Mow says “Bitcoin is exponential gold. So it will inevitably outperform gold.” https://t.co/GLOekbB1OM,
110,"🚀 $XNY  (XNY) LONG SETUP 🍏

​📍 Entry Zone: $0.004151 – $0.004265
🎯 Targets: $0.004535 | $0.004801 | $0.005101
🛡️ Stop Loss: $0.004001
🔥 Trend: Key Support Hold / Potential Momentum Ignition

  #HODLs #BBB26 #BTC #Crypto #PIPPKIN",
111,"JUST IN: Odds of Bitcoin hitting $80,000 this month reach new all-time high of 52%",
112,UPDATE: 🇺🇸 President Trump says the U.S. will become the world’s undisputed Bitcoin and Crypto Superpower. #btc #cryptocruncy #trump #tasleemtradar https://t.co/5g98zMMAGj,
113,"📣FOREX FREE GOLD (SIGNAL)
TRADING SIGNALS!
👇JOIN NOW 👇
🚨Telegram:https://t.co/zHM2keUMvD

🔥 97% Accuracy Rate  
📈 3–6 Profitable Signals Every Day  

#BTCUSD 
#Crypto
#Bitcoin
#BTC💯
#XAUUSD $USTD $jur",
114,"? Maybe we'll catch a glimpse of a three-toed dinosaur! ? But it might be tricky with the rain.
#BTC #SOL #DeepSeek #AI #Dialogue #cindy",
115,"Bitcoin is closing in on 20,000 wallets holding 100+ $BTC, whales are stacking heavy while retail hands over the supply. 

Accumulation mode: activated. 🐳

$BTC $ETH $PEPE $XRP $ZIG $SNAI $MANEKI $CWIF $SOL $NEIRO

https://t.co/vT70Cstcwi https://t.co/DAm2K0w2Q5",
